Job_name,Company_name,Place,Date,job_type,experience
Data Analytics Manager,Mashreqbank PSC -,"Cairo, Egypt",19 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · SQL · Analysis · Data Analysis · Project Management · Engineering
Data Analyst,Eep -,"Dubai, United Arab Emirates",21 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Data & Analytics Strategy Executive,Dentsu International -,"Dubai, United Arab Emirates",21 days ago,Full Time,Full TimeNot specified · Administration · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Data Entry · Microsoft Office · Administration · Data Analysis · Software Development
Data & Analytics Strategy Executive,"Dentsu, Inc. -","Dubai, United Arab Emirates",21 days ago,Full Time,Full TimeNot specified · Administration · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Data Entry · Microsoft Office · Administration · Data Analysis · Software Development
Data Strategy Consultant,D4DS -,"Riyadh, Saudi Arabia",21 days ago,Full Time,Full TimeNot specified · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Microsoft Office · Engineering · SAP · Telecommunication · Computer Hardware
data analysis,Care Services EG -,"Abbassia, Cairo, Egypt",23 days ago,Full Time,Full TimeEntry Level · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Data Analysis · Information Technology (IT) · Computer Science
DN SD SUPERVISOR (DATA ANALYSIS),Emirates Group Careers -,"Dubai, United Arab Emirates",19 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · computer science · information technology (it) · software development · software engineering · it · design · information systems
HAWK & Patriot Data & Systems Analyst / Programmer,Prattwhitney -,"Jeddah, Saudi Arabia",20 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer science · information technology (it) · software development · sql · java · engineering · html
Data Governance Sr. Specialist,Local Content And Government Procurement Authority -,"Riyadh, Saudi Arabia",21 days ago,Full Time,Full TimeNot specified · Human Resources · IT/Software Development · Engineering - Telecom/Technology · human resources (hr) · personnel · microsoft office · english · computer science · quality · management
Data I/O Specialist,"Pixelogic Media Partners, LLC -","Cairo, Egypt",21 days ago,Full Time,Full TimeNot specified · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · information technology (it) · computer science · marketing · microsoft office · media · customer service · xml
Data Engineer,Dr. Sulaiman Al Habib Medical Group -,"Riyadh, Saudi Arabia",27 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL
