Job_name,Company_name,Place,Date,job_type,experience
Senior Analyst (Corporate Investigations) - Audit & Asset Protection - Kuwait,Alshaya Group -,"Kuwait City, Kuwait",27 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Quality Analyst,enoc -,"Dubai, United Arab Emirates",27 days ago,Full Time,Full TimeNot specified · Quality · Analyst/Research · Pharmaceutical · Quality · Quality Control · Quality Assurance · Pharmacy · Analysis · Science · Computer Science
BI Data Analyst,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",2 months ago,Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Power BI · Analysis · Data Analytics · Business Data · BI · SQL · Data Analysis
"Senior Analyst, Agency & Corporate Solutions",Jones Lang LaSalle Incorporated -,"Riyadh, Saudi Arabia",27 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
"Senior Analyst, Agency & Corporate Solutions","Jones Lang LaSalle IP, Inc -","Riyadh, Saudi Arabia",27 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Digital Data Analyst,JoviTronix  -,"Sheikh Zayed, Giza, Egypt",2 months ago,Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · analytical · business · Computer Science · Data · Data Analysis · Google Analytics
RESEARCH TECHNICIAN,King Faisal Specialist Hospital & Research Centre -,"Jeddah, Saudi Arabia",29 days ago,Full Time,Full TimeNot specified · IT/Software Development · Manufacturing/Production · Engineering - Mechanical/Electrical · engineering · mechanical engineering · electrical engineering · production · science · computer skills · laboratory
Software Tester and data entry,FORALL -  -,"Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Quality · QA · Quality Assurance · Software Testing · Testing · Agile · Computer Science
Data Analyst,Monglish Academy -,"San Stefano, Alexandria, Egypt",2 months ago,Full Time,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · analytical · business · Computer Science · Data · Data Analysis
Logistic Integrated Process & Transformation Sr. Analyst,BRF S.A Talents -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · erp · finance · supply chain · analysis · engineering
SOC Analyst – L2,Salt Search Ltd -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Analyst/Research · information technology (it) · finance · accounting · computer science · english · security · cyber security
Commercial Integrated Process Analyst,BRF S.A Talents -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · software development · engineering · sales · analysis · software
Senior Analyst (Corporate Investigations) - Audit & Asset Protection - Kuwait,Alshaya Trade -,"Kuwait City, Kuwait",29 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
SAP Senior Consultant 1,Mansour Automotive -,"Cairo, Egypt",29 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · SAP · Information Technology (IT) · Computer Science · ABAP · Software Engineering · ERP · Implementation
iOS Mobile Developer ( Nasr City),Confidential -,"Nasr City, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Objective-C · Java · OpenGL · Mobile Development · Computer Science · Computer Engineering · Software Engineering
Senior Data Engineer,BBI-Consultancy -,"Nasr City, Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Computer Science · Engineering · Information Technology (IT) · computer · Database
Customer Experience Analyst,Rotana Corporate Office -,"Abu Dhabi, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · Administration · Customer Service/Support · Analyst/Research · Customer Service · Customer Support · Customer Care · Call Center · Microsoft Office · Customer Experience · Data Entry
Senior Analyst - Logistics - Kuwait,Alshaya Group -,"Kuwait City, Kuwait",30 days ago,Full Time,Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Project Services Lead,Amec Foster Wheeler -,"Doha, Qatar",30 days ago,Full Time,Full TimeNot specified · Customer Service/Support · IT/Software Development · Project/Program Management · Project Management · Customer Service · Customer Care · Microsoft Office · Customer Support · Information Technology (IT) · Computer Skills
"Director, Medical - One&Only One Za''abeel",Kerzner International Management -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · Operations/Management · Medical/Healthcare · Pharmaceutical · Medical · Healthcare · Management · Medicine · Dentistry · Hospital Management · Pharmaceutical Science
Product Intern,Bayut -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · Business Development · IT/Software Development · Project/Program Management · Product Management · Information Technology (IT) · Business Development · Software · Product · Data Entry · Project Management
Product Intern,Bayut | dubizzle -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · Business Development · IT/Software Development · Project/Program Management · Product Management · Information Technology (IT) · Business Development · Software · Product · Data Entry · Project Management
Project Manager - Data Networks (ICT),SABA -,"Heliopolis, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Project Management · Software Engineering · Data Networks · Networks · PMP · Microsoft Visio · Smartdraw
Business Analyst,Dafater -,"Nasr City, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Business Analysis · Communication skills · Computer Science · Data Analysis · ERP · Information Technology (IT) · Scrum · analytical · Analysis
Data Architect,Sceel.io -,"Maadi, Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 5 - 9 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Big Data · Computer Engineering · Computer Science · Data Modeling · ETL · Hadoop · Information Technology (IT)
Data Modeler,Sceel.io -,"Maadi, Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 5 - 9 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Modeling · Data Integration · Database Design · ETL · Information Technology (IT) · SQL · Modeling
Data Quality Specialist,Sceel.io -,"Maadi, Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 5 - 9 Yrs of Exp · IT/Software Development · Computer Science · Analysis · Microsoft Office · SQL · Data Analysis · Engineering · Science · Communication · quality
Data Engineer,Sceel.io -,"Maadi, Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Engineering · Information Technology (IT) · Big Data · Data Analysis · Computer Science · Java
Senior Data Engineer,Confidential -,"Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Database · Information Technology (IT) · Java · Python · Software Development · SQL · Programming
Data Modeler,Confidential -,"Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 1 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · SAS · Modeler · Data Modeling · Database · Database SQL Server · Data Science · Modeling
'SENIOR BI DEVELOPER,A1Softech -,"Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 7 - 10 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · BI · business · Business Intelligence · Computer Science · Data Warehousing · ETL · Information Technology (IT)
Data Scientist Engineer,ArabWork -,"Cairo, Egypt",2 months ago,Full Time,Full TimeSenior Management · 5+ Yrs of Exp · IT/Software Development · Computer Science · Software · Data · Programming · Computer Engineering · Information Technology (IT)
Data Scientist,Premier Services and Recruitment -,"Katameya, Cairo, Egypt",2 months ago,Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Computer Science · Information Technology (IT)
Data Analytics Consultant (AWS Certified),Confidential -,"Katameya, Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analytics · Computer Science · Data Analytics · Data Warehousing · Engineering · Information Technology (IT) · SAP
Business Intelligence Analyst (Tableau/UI Designer),siParadigm Egypt -,"Sheraton, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 2+ Yrs of Exp · Business Development · Analyst/Research · Analysis · business · Analyst · Business Analysis · Business Intelligence · Data · Computer Science · Information Technology (IT)
Online Live Support Senior Specialist (Application Support Engineer),Network International -Egypt -,"Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · Banking · IT/Software Development · SQL · Oracle PL/SQL · Payment Solutions · Payments · Data Analytics · Data Analysis · Computer Science · Financial Services
Backend Developer,Fintech solutions -,"New Cairo, Cairo, Egypt",8 hours ago,Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Android · Computer Science · Development · Information Technology (IT) · Science · Software Development · Software · Mobile Development · Engineering
Senior Machine Learning Engineer,Arrow -,"Cairo, Egypt",6 days ago,Full Time,Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Python · Computer Science · Information Technology (IT) · Machine Learning · Software Engineering · C++ · Mathematics
ARC GIS Developer - Mansoura,qTech.  -,"Mansoura, Dakahlia, Egypt",7 days ago,Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Web Development · GIS · Software Development · System Analysis · Web Design · Software Engineering · Computer Science
Early Career Technical,InterSystems Corporation -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · software development · sales · project management · finance
Technical Project Manager,BNB Chain -,"Dubai, United Arab Emirates",2 days ago,Full Time,Full TimeNot specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Project/Program Management · Project Management · Engineering · Information Technology (IT) · PMP · Computer Science · Civil Engineering · Management
BB CREDIT POLICY & PROGRAMS OFFICER,Cibeg -,"Cairo, Egypt",8 days ago,Full Time,Full TimeNot specified · Accounting/Finance · Administration · Project/Program Management · finance · accounting · microsoft office · business administration · banking · commerce · management
Business Intelligence Analyst,Carnegie Mellon University -,"Doha, Qatar",6 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering
"Technologist-Laboratory, Assoc","Halliburton Energy Services, Inc. -","Cairo, Egypt",1 day ago,Full Time,Full TimeNot specified · Engineering - Construction/Civil/Architecture · Manufacturing/Production · Engineering - Mechanical/Electrical · engineering · laboratory · medical · civil · science
Aveva Diagram Administrator (14/09/2023),MphExperts -,"Doha, Qatar",3 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · maintenance · sql · database · design
IT Manager- Sap User,Confidential -,"Obour City, Cairo, Egypt",2 days ago,Full Time,Full TimeManager · 12 - 15 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Administration · Analysis · computer · Computer Hardware · Computer Science · Information Technology (IT) · IT
Senior Backend Developer{ .NET Core},RTR Software Solutions  -,"Nasr City, Cairo, Egypt",2 days ago,Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · .Net · Microsoft SQL Server · Azure · Git · SQL · Software Development · Agile · Computer Science
HCM Specialist,Alkifahcont -,"Riyadh, Saudi Arabia",2 days ago,Full Time,Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · hcm · information technology (it) · computer science · erp · it · oracle · sap
Senior Business Intelligence Analyst,Nana Direct -,"Riyadh, Saudi Arabia",3 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Computer Engineering · Engineering · Software Development
Senior Oracle developer,Algoriza -,"Giza, Egypt",2 days ago,Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Design · Development · Database · Information Technology (IT) · Oracle · oracle developer · PL/SQL
Database Administrator,Ghobash Group -,"Dubai, United Arab Emirates",5 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · SQL · Oracle · Database Administration · Database · Linux
Business Analyst,eT3 - Tomorrow Information Technology -,"Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Computer Science · JIRA · SQL · Python · UAT testing · Data Analysis
ML Solutions Engineer - Relocation to Abu-Dhabi,Dataloop Ltd -,"Abu Dhabi, United Arab Emirates",8 days ago,Full Time,Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · Sales · Telecommunication · Sales Skills · Computer Engineering
Senior Systems Analyst (UAE National Only) {Career Fair- 2023},Dubai Health Authority -,"Dubai, United Arab Emirates",6 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Computer Engineering · Engineering · System Analysis
Applications Support Specialist,Basata -,"Mokattam, Cairo, Egypt",5 days ago,Full Time,Full TimeExperienced · 1 - 2 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Customer Support · Information Technology (IT) · Linux · Oracle · Database · Computer Engineering · Customer Service
"Engineer I,Process Improvement",Arrow -,"Cairo, Egypt",6 days ago,Full Time,Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · engineering · software development · sql · python · management
Development Aircraft Engineer – Maintenance Program and Reliability,Royal Jet -,"Abu Dhabi, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · software development · maintenance · management · development
Senior Sourcing & Pre-qualification Specialist - UAE NAtional,Al Nahiya Group -,"Abu Dhabi, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Human Resources · IT/Software Development · Engineering - Telecom/Technology · human resources (hr) · information technology (it) · recruitment · computer science · sourcing · supply chain · procurement
"Team Leader / Senior Full Stack, PHP, Drupal Developer",Orange Studio -,"Nasr City, Cairo, Egypt",9 days ago,Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Full Stack · Web Development · Information Technology (IT) · UI · UX · Drupal · Lamp Stack
Assessment Specialist (Temp),University of Doha for Science and Technology (UDST) -,"Doha, Qatar",1 day ago,Full Time,Full TimeExperienced · 5+ Yrs of Exp · Human Resources · Quality · Training/Instructor · Assessment · Call Center · Human Resources (HR) · Interviews · Proficiency Assessment · Training · Customer Care
Technical Reliability Officer,Qatar Airways - Other locations -,"Doha, Qatar",9 days ago,Full Time,Full TimeNot specified · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · AutoCAD · PHD · Software Development · Design
PMO Manager TET,"Thales e-Security, Inc. -","Abu Dhabi, United Arab Emirates",5 days ago,Full Time,Full TimeNot specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Project/Program Management · Project Management · PMO · Engineering · Information Technology (IT) · Computer Science · Civil Engineering · PMP
PMWeb Consultant M/F,Egis Group -,"Doha, Qatar",9 days ago,Full Time,Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · call center · customer care · customer service · computer science · project management · analysis
AI Developer,LINK Development -,"Cairo, Egypt",12 hours ago,Full Time,Full TimeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · BI · Software Engineering · SQL · Software Development · Power BI · SSRS · SQL Server
IoT Software Engineer,Interact Technology Solutions -,"Maadi, Cairo, Egypt",8 days ago,Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint
Safety and Quality Inspector,KONE France -,"Abu Dhabi, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · R&D/Science · Manufacturing/Production · Quality · Quality Control · Quality · Quality Assurance · QC · Science · Food Safety · Chemistry
QA Validation Senior Officer,Sanofi-Aventis Deutschland GmbH -,"Cairo, Egypt",3 days ago,Full Time,Full TimeNot specified · IT/Software Development · Quality · Engineering - Telecom/Technology · quality assurance · computer science · information technology (it) · qa · qc · quality · pharmaceutical
Field Engineer I - Directional Drilling,"Halliburton Energy Services, Inc. -","Cairo, Egypt",9 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Electrical Engineering · Information Technology (IT) · Computer Science · Maintenance · Installation · Mechanical Engineering
Principal Analyst- International Risk Remediation,First Gulf Bank PJSC -,"Abu Dhabi, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Analyst/Research · finance · information technology (it) · accounting · computer science · banking · analyst · management
Murex Integration Senior Consultant,Luxoft -,"Abu Dhabi, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · sql · design · communication skills · programming
Senior Civil Engineer,Stantec -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Computer Science · Civil Engineering · Software Engineering · Software Development · Construction
Economic Development consultants,Case In Point -,"Riyadh, Saudi Arabia",3 days ago,Full Time,Full TimeNot specified · Business Development · IT/Software Development · Sales/Retail · Sales · Sales Skills · Business Development · Computer Science · Information Technology (IT) · Customer Service · Development
CCNA - Channel Marketing Assistant,Canon Europe -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNA · Information Technology (IT) · Computer Science · Engineering · MCSA · Installation · Computer Engineering
Drug Information Specialist,IQVIA Holdings Inc. -,"Cairo, Egypt",5 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software · Software Engineering · Engineering · Computer Engineering · ERP
Senior Linux System Admin (+ 3 years of pure Linux administration experience),3D Diagnostix -,"Maadi, Cairo, Egypt",1 day ago,Full Time,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · AWS · CCNA · Cisco · Computer Science · Information Technology (IT) · Linux · MySQL
Fresh Sales graduate - KSA National (Based In Riyadh),Veritas -,"Riyadh, Saudi Arabia",7 days ago,Full Time,Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Sales Target · Customer Support · Information Technology (IT) · Administration · Computer Science
"Specialist, Business Information & Development",ADNOC (Abu Dhabi National Oil Company) -,"Abu Dhabi, United Arab Emirates",7 days ago,Full Time,Full TimeNot specified · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · Sales Skills · Sales Target · Marketing · Customer Service · Information Technology (IT)
Environmental Lead (Waste Management),SNC-Lavalin -,"Riyadh, Saudi Arabia",5 days ago,Full Time,Full TimeNot specified · Quality · Engineering - Mechanical/Electrical · Engineering - Other · engineering · quality · mechanical engineering · hse · management · science · construction
IT System Engineer / VMware / Infrastructure,Efada Technology -,"New Cairo, Cairo, Egypt",12 days ago,Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information technology · Engineering · Technology · Servers · Telecom · Telecommunication · Vmware
Senior Consultant - Asset Management,SNC-Lavalin -,"Dubai, United Arab Emirates",5 days ago,Full Time,Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Real Estate · Sales Target · Information Technology (IT) · Customer Service · Computer Science
Talent Development Manager,Qatar Airways - Other locations -,"Doha, Qatar",5 days ago,Full Time,Full TimeNot specified · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · Sales Skills · Marketing · Sales Target · Management · Human Resources (HR)
Oracle Cloud Human Capital Management (HCM) Functional Consultant,AL-AYUNI -,"Riyadh, Saudi Arabia",6 days ago,Full Time,Full TimeNot specified · Human Resources · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Oracle · HCM · Human Capital Management · English · Human Resources (HR)
Product Designer (Arabic speaking),DISCOVERED -,"Riyadh, Saudi Arabia",6 days ago,Full Time,Full TimeNot specified · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Design · Product Design · Adobe Photoshop · Applied Arts · Adobe Illustrator · Engineering · Information Technology (IT)
Senior Credit Risk Manager,Kinetic Business Solutions & Flow Talent -,"Dubai, United Arab Emirates",6 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · finance · accounting · information technology (it) · computer science · management · banking · risk management
Specialist- Business Management,First Gulf Bank PJSC -,"Abu Dhabi, United Arab Emirates",6 days ago,Full Time,Full TimeNot specified · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · Sales Skills · Sales Target · Marketing · Customer Service · Microsoft Office
Senior Onestream Report Developer,Boskalis -,"Abu Dhabi, United Arab Emirates",9 days ago,Full Time,Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · computer science · sales · engineering · finance · english · management
Senior Cost Manager,Mace Group -,"Riyadh, Saudi Arabia",7 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Sales/Retail · Sales · Sales Skills · Project Management · Finance · Accounting · Customer Service · Engineering
Associate,Vialto Partners -,"Doha, Qatar",7 days ago,Full Time,Full TimeNot specified · Business Development · Customer Service/Support · Sales/Retail · Sales Skills · Customer Service · Sales Target · Sales · Marketing · Outdoor Sales · Business Development
Senior Operational Information Management and Performance Reports Associate,World Food Program - Other locations -,"Dubai, United Arab Emirates",15 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · microsoft office · management · english · operations
Data Mapper,eT3 - Tomorrow Information Technology -,"Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Teradata · DevOps · NoSQL · Big Data · ETL · Informatica ETL · RDBMS · SQL
"Monitoring Assistant SC, L5",World Food Program - Other locations -,"Cairo, Egypt",15 days ago,Full Time,Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · engineering · information technology (it) · microsoft office · computer science · administration · management · english
Oracle Cloud HCM Consultant,Confidential -,"Cairo, Egypt",10 hours ago,Full Time,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Oracle · Payroll · HCM · Computer Science · Consultant
Business Analyst | German Speaker,Expleo -,"Maadi, Cairo, Egypt",10 hours ago,Full Time,Full TimeExperienced · 1 - 5 Yrs of Exp · IT/Software Development · Business Analysis · German · Computer Science · MS Excel · german · English · inssurance
Odoo Developer,Aliaict -,"Cairo, Egypt",1 day ago,Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS · Git · Agile · Computer Science · Python · MVC · SQL · XML
Associate II - Broking,Marsh McLennan -,"Dubai, United Arab Emirates",2 days ago,Full Time,Full TimeNot specified · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · information technology (it) · computer science · project management · microsoft office · communication skills · communication · english
Developer and Support of Applications and Software Solutions,Confidential -,"Cairo, Egypt",9 hours ago,Full Time,Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · MySQL · Oracle · Information Technology (IT) · Java · Computer Science · Software Development · SQL · Python
Business Analyst (With Healthcare industry experience),Fursaty Careers/Learn to B HR Consultancy -,"Dubai, United Arab Emirates",15 days ago,Full Time,Full TimeNot specified · 6+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering
Specialist- Credit Management,First Gulf Bank PJSC -,"Dubai, United Arab Emirates",9 days ago,Full Time,Full TimeNot specified · Accounting/Finance · Customer Service/Support · Marketing/PR/Advertising · Finance · Accounting · Customer Service · Microsoft Office · Marketing · English · Project Management
Specialist- Credit Management,First Abu Dhabi Bank -,"Dubai, United Arab Emirates",9 days ago,Full Time,Full TimeNot specified · Accounting/Finance · Customer Service/Support · Marketing/PR/Advertising · Finance · Accounting · Customer Service · Microsoft Office · Marketing · English · Project Management
CX Project Specialist,MRSOOL Inc -,"Cairo, Egypt",3 days ago,Full Time,Full TimeNot specified · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Project Management · Information Technology (IT) · Microsoft Office · Computer Science · Engineering · Communication Skills · Customer Service
Principal Analyst- International Risk Remediation,First Abu Dhabi Bank -,"Abu Dhabi, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Analyst/Research · finance · information technology (it) · accounting · computer science · banking · management · business
Security Consultant – eGRC,Gulf Business Machines PND -,"Riyadh, Saudi Arabia",3 days ago,Full Time,Full TimeNot specified · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Networking · Security · CCIE · CISSP · Engineering
Process Engineer,Unilever Schweiz GmbH -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
Microsoft Dynamics AX 365 Functional Consultant,reeqwest -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · ERP · Microsoft Dynamics · Microsoft Dynamics AX · AX · Dynamics AX
CONTROLLER - BILLING,DP World -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Control · Quality Assurance · Engineering · Quality · Computer Science · Information Technology (IT) · QC
Senior Associate - Marketing Projects,Department of Tourism and Commerce Marketing -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Accounting/Finance · Business Development · Sales/Retail · Accounting · Finance · Microsoft Office · Sales Skills · ACCA · CPA · Commerce
